,Writer Name,IPI,PRO
1013,BROCKER TOM J,72144598,BMI
1014,COLEMAN MELVIN CURTIS,199359800,SESAC
1015,HILSON KERI LYNN,402982761,BMI
1016,RELF ROBERT NELSON,25702999,BMI
1017,GEREMIA ANDREAS ,207137792,GEMA
1018,GUTJAHR ANDREAS ,269899480,GEMA
1021,ZISSEL OLAF ,257910060,GEMA
1028,GRAHAM AUBREY DRAKE,529397022,NS
1030,REEVES JEREMY L,437824243,ASCAP
1031,ROMULUS RAY ,437892711,BMI
1034,YIP JONATHAN JAMES,402656580,BMI
1036,BIBLES BRETT WADE,344474654,ASCAP
1037,TANK MIKHAIL ,420173898,BMI
1038,RICHIE LIONEL B,89229439,ASCAP
1039,TUCKER MICHAEL JOHN,121526414,PRS
1040,WHITE DOUGLAS THOMSON,160387672,PRS
1042,EVANS CLIFFORD JOHN,176852435,PRS
1048,WHITE MAURICE ,63259085,ASCAP
1050,SEATS ERIC L,342585164,ASCAP
1051,STEWART RAPTURE D,342586749,ASCAP
1053,HAYES PATRICK BOIS,516538156,ASCAP
1066,ZATTAU RICHARD C,345863733,ASCAP
1068,CHATMAN RICHARD WAYNE,516151287,ASCAP
1071,LEVIN DANIEL ,459776787,ASCAP
1074,BENTLEY FLOYD EUGENE,607301976,BMI
1075,BEREAL JOSEPH A,435627452,ASCAP
1076,BROWN CHRISTOPHER MAURICE,484845803,BMI
1077,DE GRATE DONALD EARLE,128811085,NS
1078,HAILEY RICHARD CEDRIC  ,429634048,ASCAP
1080,SMITH JAMES ,535735441,SESAC
1082,WATSON VINCENT MARCELLUS,589677368,ASCAP
1085,TAYLOR TROY  ,128539558,BMI
