id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr,51,203348,'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary',,,,,,,,,,
3LkSiHbjqOHCKCqBfEZOTv,Atreyu,63,375092,'alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock', 'screamo',,,,,,,,,
6mGePPdSJBK2w7KjndgehO,Aubrey Hilliard,12,91,,,,,,,,,,,,,,,,,,,
01PBXLThJADrhufsPS5tER,Audio Adrenaline,47,84995,'anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship',,,,,,,,,,,,,
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,71,1721764,'alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rap metal', 'rock',,,,,,,,,,,,
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,69,1395675,'dance pop', 'deep pop r&b', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary',,,,,,,,,
2koMWjvRRF0cOpJnjhdKx0,Autograph,43,49085,'album rock', 'classic russian rock', 'glam metal', 'hard rock', 'sleaze rock',,,,,,,,,,,,,,
546WiMGysEqWZTzP8hJvB2,Mickey Avalon,47,47106,,,,,,,,,,,,,,,,,,,
0AunegKKH2ys98aLxq8G1A,Avant,60,566438,'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary',,,,,,,,,,,
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,77,2523091,'alternative metal', 'nu metal', 'post-grunge',,,,,,,,,,,,,,,,
3tx8fyu3c4OBP5nejYtUOb,Average White Band,58,138024,'classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul',,,,,,,,,,,
1vCWHaC5f2uS3yhpwWbIA6,Avicii,85,10279168,'big room', 'edm',,,,,,,,,,,,,,,,,
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,78,3175538,'canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop',,,,,,,,,,,,,,
4njdEjTnLfcGImKZu1iSrz,AWOLNATION,68,1166643,'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop',,,,,,,,,,,,,,
4UGMQyNcbGHYg5CDMKkSw3,Az Yet,43,92396,'new jack swing', 'urban contemporary',,,,,,,,,,,,,,,,,
3gdbcIdNypBsYNu3iiCjtN,The B-52's,60,288240,'art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'zolo',,,,,,,,,
5xLSa7l4IV1gsQfhAMvl0U,B.B. King,64,1332601,'blues', 'blues-rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues',,,,,,,,,,,,
36HvjE9pV91jEjO1qBRidS,B.G.,43,179881,'deep southern trap', 'deep trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music',,,,,,,,,,,
0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas,53,59634,'adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'folk rock', 'lounge', 'mellow gold', 'soft rock',,,,,,,,,,,
5ndkK3dpZLKtBklKjxNQwT,B.o.B,76,1432621,'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop',,,,,,,,,,,,,
67PmHOmt1tveILUtasiYAf,B.T. Express,47,36667,'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul',,,,,,,,,,,,
72eP0W3rIhkxd0NHGg4w4u,B*Witched,49,68346,'bubblegum dance', 'dance pop', 'europop', 'girl group',,,,,,,,,,,,,,,
51d3rUlLuMh7EW09aMe7yj,B2K,59,266426,'boy band', 'dance pop', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary',,,,,,,,,,,,
12PSlydMSjEHzSCj9X5qv7,Baby Bash,65,325556,'chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary',,,,,,,
